,[1] Accuracy,[2] Accuracy,[3] Accuracy,[1] Steps,[2] Steps,[3] Steps,[1] Time,[2] Time,[3] Time
1,100.0,93.75,100.0,33.0,32.0,31.0,0.3685600757598877,39.628654956817634,155.47422719001767
2,83.01886792452831,77.27272727272727,81.36882129277566,265.0,264.0,263.0,0.7951376438140869,43.31338858604431,174.57983493804932
3,93.93939393939394,100.0,93.54838709677419,33.0,32.0,31.0,0.32535433769226074,39.83107972145081,149.61006760597232
4,66.66666666666666,81.81818181818183,70.0,12.0,11.0,10.0,0.4643330574035645,39.24091243743897,156.59473633766174
5,100.0,100.0,88.88888888888891,29.0,28.0,27.0,0.3494706153869629,39.40457153320313,171.59890604019162
6,27.777777777777786,52.941176470588246,18.75,18.0,17.0,16.0,0.3989880084991455,39.870283126831055,151.4848732948303
7,31.25,40.0,21.428571428571427,16.0,15.0,14.0,0.4298019409179688,39.57430291175842,168.59613609313962
8,79.06976744186046,77.57009345794394,76.99530516431925,215.0,214.0,213.0,0.979426383972168,43.68255257606506,171.5520944595337
9,100.0,100.0,95.45454545454544,24.0,23.0,22.0,0.443748950958252,40.295085430145264,158.4066867828369
12,36.66666666666666,13.79310344827586,39.285714285714285,30.0,29.0,28.0,0.6102805137634277,39.96929121017456,182.62534427642825
14,0.0,25.0,57.14285714285714,9.0,8.0,7.0,0.6089138984680176,40.2354667186737,158.83694648742676
15,89.51965065502182,89.47368421052632,89.86784140969164,229.0,228.0,227.0,1.2483599185943604,41.37815618515015,167.64264678955078
17,76.47058823529412,9.090909090909092,50.0,34.0,33.0,32.0,0.8270068168640137,40.43558311462402,160.3853101730347
18,100.0,95.45454545454544,71.42857142857143,23.0,22.0,21.0,0.5597743988037109,40.085811138153076,166.02914786338806
20,45.45454545454545,0.0,66.66666666666666,11.0,10.0,9.0,0.6587703227996826,40.06964874267578,171.73866987228394
23,34.78260869565217,54.54545454545454,28.57142857142857,23.0,22.0,21.0,0.6826202869415283,41.20192909240723,157.55381178855896
24,71.875,69.29133858267717,65.07936507936508,128.0,127.0,126.0,1.1194934844970703,40.7138421535492,161.05754256248474
25,57.14285714285714,70.37037037037038,65.38461538461539,28.0,27.0,26.0,0.7860801219940186,41.27911186218262,166.26422786712646
26,100.0,84.61538461538461,100.0,14.0,13.0,12.0,0.8309288024902344,41.021732330322266,153.95619416236875
27,63.07692307692307,59.375,82.53968253968253,65.0,64.0,63.0,0.9405403137207032,41.85218214988709,163.88253331184387
29,51.15511551155115,46.357615894039725,50.49833887043189,303.0,302.0,301.0,1.7398629188537598,43.6593165397644,170.3144333362579
30,89.47368421052632,66.66666666666666,82.35294117647058,19.0,18.0,17.0,0.7998538017272949,40.318058729171746,152.89810657501218
31,100.0,44.444444444444436,75.0,10.0,9.0,8.0,0.8175058364868164,40.70815515518189,163.75501251220703
33,63.33333333333333,51.72413793103448,46.42857142857143,30.0,29.0,28.0,0.8963160514831543,42.008723497390754,160.57930636405942
34,76.66666666666667,55.17241379310346,64.28571428571429,30.0,29.0,28.0,0.9149932861328124,43.41917181015015,176.30047273635864
35,100.0,0.0,0.0,8.0,7.0,6.0,0.8611116409301758,40.143748044967644,156.7405905723572
37,74.19354838709677,53.33333333333334,51.72413793103448,31.0,30.0,29.0,1.0610408782958984,42.36762452125549,141.05994272232056
39,64.93506493506493,64.47368421052633,68.0,77.0,76.0,75.0,1.247905969619751,42.09734296798706,157.6373996734619
40,72.1518987341772,48.71794871794872,68.83116883116884,79.0,78.0,77.0,1.4520635604858398,42.18403625488281,166.5800492763519
41,55.08474576271186,57.264957264957246,51.72413793103448,118.0,117.0,116.0,1.4469823837280271,45.40012073516846,162.5986039638519
42,63.33333333333333,62.06896551724138,67.85714285714286,30.0,29.0,28.0,1.166788101196289,44.93399453163147,172.33043909072876
43,61.29032258064516,73.33333333333333,68.96551724137932,31.0,30.0,29.0,1.143308162689209,41.461033582687385,169.22514104843142
44,21.428571428571427,76.92307692307693,75.0,14.0,13.0,12.0,1.0744082927703855,42.224405765533454,163.8490092754364
45,84.24657534246576,82.13058419243984,81.72413793103449,292.0,291.0,290.0,2.1449573040008545,48.208308935165405,179.39712381362915
46,82.13058419243984,77.24137931034483,79.58477508650519,291.0,290.0,289.0,2.06306791305542,46.1437451839447,169.5831255912781
50,77.14285714285717,82.35294117647058,75.75757575757575,35.0,34.0,33.0,1.3806631565093994,40.097334146499634,142.31914114952087
55,50.0,60.60606060606061,46.875,34.0,33.0,32.0,1.3953406810760498,41.12433838844299,166.1235635280609
56,100.0,0.0,88.88888888888891,11.0,10.0,9.0,1.2325658798217771,42.55490159988403,171.31193399429318
62,35.555555555555564,20.454545454545453,30.232558139534877,45.0,44.0,43.0,1.7091071605682373,44.21835565567017,175.63525438308716
64,84.46601941747572,85.29411764705883,78.21782178217822,103.0,102.0,101.0,1.7470431327819824,44.706427574157715,190.63640475273132
66,65.46762589928058,64.4927536231884,58.39416058394161,139.0,138.0,137.0,1.9689669609069824,44.89498329162598,151.14922952651978
67,63.725490196078425,61.38613861386138,61.0,102.0,101.0,100.0,1.861412763595581,43.75738525390625,164.39389848709106
68,77.14285714285717,76.07655502392346,75.96153846153845,210.0,209.0,208.0,2.2293071746826167,45.69711136817932,172.37227320671082
70,83.64485981308411,82.62910798122066,80.18867924528303,214.0,213.0,212.0,2.426446914672852,50.11048603057861,164.889909029007
71,94.11764705882351,93.93939393939394,100.0,34.0,33.0,32.0,1.6167862415313718,42.68982338905335,170.5974748134613
72,88.88888888888891,82.35294117647058,100.0,18.0,17.0,16.0,1.6379365921020508,42.24611043930054,168.08960509300232
73,64.28571428571429,69.23076923076923,50.0,14.0,13.0,12.0,1.691087245941162,45.39523363113403,174.15652418136597
74,75.67567567567569,61.111111111111114,54.28571428571429,37.0,36.0,35.0,1.7765169143676758,44.7934148311615,168.71194791793826
75,85.0,89.47368421052632,83.33333333333334,20.0,19.0,18.0,1.787299633026123,42.3521716594696,173.6764259338379
76,100.0,94.44444444444444,100.0,37.0,36.0,35.0,1.8544235229492188,42.818444490432746,178.05664014816284
77,21.052631578947366,13.513513513513516,30.555555555555557,38.0,37.0,36.0,1.892561197280884,44.71647095680237,176.50296354293823
78,17.94871794871795,18.421052631578945,18.918918918918926,39.0,38.0,37.0,1.8669722080230715,45.95196223258972,175.53050422668457
79,40.74074074074074,53.84615384615386,40.0,27.0,26.0,25.0,1.8233873844146729,47.34157967567444,152.75234413146973
80,70.0,56.30252100840336,66.9491525423729,120.0,119.0,118.0,2.259902000427246,47.34750485420227,176.39456152915955
81,85.71428571428571,15.384615384615385,66.66666666666666,14.0,13.0,12.0,1.819059133529663,41.59967970848084,160.14217472076416
82,92.85714285714286,53.84615384615386,75.0,14.0,13.0,12.0,1.854392051696777,43.4672429561615,176.5542869567871
83,86.95652173913044,86.36363636363636,95.23809523809523,23.0,22.0,21.0,2.249650716781616,43.509386777877815,172.55806303024292
84,86.95652173913044,81.81818181818183,100.0,23.0,22.0,21.0,1.962870597839356,44.62858176231384,168.1875126361847
85,79.16666666666666,0.0,95.45454545454544,24.0,23.0,22.0,1.9820075035095213,46.23413276672363,177.72271466255188
86,70.37037037037038,80.76923076923076,64.0,27.0,26.0,25.0,2.039275884628296,42.268233299255364,163.1369097232819
87,96.29629629629628,76.92307692307693,80.0,27.0,26.0,25.0,2.040585517883301,44.31213212013245,172.95073223114014
89,100.0,56.00000000000001,100.0,26.0,25.0,24.0,2.052176713943481,42.02717733383179,183.2588574886322
90,68.75,53.33333333333334,78.57142857142857,16.0,15.0,14.0,2.1139228343963623,43.4918897151947,171.8879683017731
91,93.02325581395347,76.19047619047619,75.60975609756099,43.0,42.0,41.0,2.277322292327881,44.66573977470398,169.55158376693726
92,100.0,75.0,85.71428571428571,9.0,8.0,7.0,2.220833301544189,42.222182989120476,177.34662556648254
93,80.55555555555556,88.57142857142857,91.17647058823529,36.0,35.0,34.0,2.3427703380584717,41.97540283203125,184.080552816391
95,70.18348623853211,75.1152073732719,75.92592592592592,218.0,217.0,216.0,3.2436182498931885,47.0661256313324,158.3864793777466
96,74.46808510638297,76.08695652173914,71.1111111111111,47.0,46.0,45.0,2.32593035697937,44.59129738807678,187.93155217170715
97,80.43478260869566,55.55555555555557,81.81818181818183,46.0,45.0,44.0,2.35278868675232,43.691989183425896,175.49700593948364
98,70.45454545454545,72.51908396946564,62.30769230769231,132.0,131.0,130.0,2.73857045173645,46.64395070075989,177.6064863204956
99,73.68421052631578,62.16216216216216,100.0,38.0,37.0,36.0,2.502368450164795,43.51234865188599,180.13126540184018
100,93.10344827586206,92.85714285714286,88.88888888888891,29.0,28.0,27.0,2.3747360706329346,45.47041583061218,165.47927117347712
102,62.06896551724138,52.631578947368425,42.857142857142854,58.0,57.0,56.0,2.978626012802124,43.597129344940186,149.3941082954407
103,44.0,45.83333333333333,34.78260869565217,25.0,24.0,23.0,2.5257375240325928,44.70896339416504,186.04640173912048
104,87.5,61.29032258064516,86.66666666666669,32.0,31.0,30.0,2.585912704467773,46.282408952713006,165.36812233924866
105,83.7837837837838,58.33333333333334,88.57142857142857,37.0,36.0,35.0,2.529076337814331,46.17356586456299,134.8284707069397
106,92.30769230769228,91.66666666666666,81.81818181818183,13.0,12.0,11.0,2.4159226417541504,44.83194041252136,156.4408860206604
107,96.66666666666669,86.20689655172413,100.0,30.0,29.0,28.0,2.504655838012696,43.58963871002197,176.0400846004486
109,11.111111111111107,50.0,71.42857142857143,9.0,8.0,7.0,2.480300188064575,44.932777404785156,172.4096667766571
110,90.0,100.0,92.85714285714286,30.0,29.0,28.0,2.624695539474488,45.200035572052,170.78885054588318
111,73.33333333333333,68.96551724137932,82.14285714285714,30.0,29.0,28.0,2.57693862915039,46.57365083694458,193.57999753952026
112,80.76923076923076,84.0,83.33333333333334,26.0,25.0,24.0,2.819953680038452,47.364357709884644,179.80636048316956
113,88.0,87.5,95.65217391304348,25.0,24.0,23.0,2.820021629333496,45.57551407814026,138.25761270523068
114,97.61904761904762,82.92682926829268,92.5,42.0,41.0,40.0,2.779751300811768,45.05452728271485,160.62183690071106
115,78.57142857142857,51.219512195121965,67.5,42.0,41.0,40.0,2.863463878631592,45.89809560775757,177.377272605896
117,100.0,38.46153846153847,66.66666666666666,14.0,13.0,12.0,2.8395681381225586,49.18129229545593,172.58609342575073
118,54.54545454545454,21.875,41.935483870967744,33.0,32.0,31.0,2.8656723499298096,45.70483684539795,174.90543341636658
119,57.69230769230769,44.0,41.66666666666667,26.0,25.0,24.0,2.9187214374542236,46.80475401878357,168.29947996139524
120,74.07407407407408,84.61538461538461,80.0,27.0,26.0,25.0,2.893242597579956,46.892225980758674,160.25865006446838
121,68.18181818181817,80.95238095238095,80.0,22.0,21.0,20.0,2.914199113845825,45.31248664855957,173.44194078445437
122,81.25,77.41935483870971,90.0,32.0,31.0,30.0,3.040002584457397,45.22756052017212,164.3639619350433
123,72.36842105263158,76.89768976897689,76.49006622516556,304.0,303.0,302.0,4.301061630249023,54.393202543258674,175.64657974243164
124,86.66666666666669,97.72727272727272,86.04651162790701,45.0,44.0,43.0,3.086654663085937,45.941215991973884,156.41642165184018
125,89.47368421052632,83.7837837837838,91.66666666666666,38.0,37.0,36.0,3.377465009689331,49.022865295410156,167.75685477256775
126,14.285714285714285,30.76923076923077,8.333333333333332,14.0,13.0,12.0,2.9716758728027344,45.27032828330994,156.24312019348145
127,30.0,33.33333333333333,37.5,10.0,9.0,8.0,2.9594078063964844,45.86638069152832,174.62851810455322
128,97.36842105263158,86.4864864864865,97.2222222222222,38.0,37.0,36.0,3.1985833644866943,46.95254921913147,170.10400462150577
129,96.36363636363636,87.03703703703705,92.45283018867924,55.0,54.0,53.0,3.176633596420288,44.335834980010986,162.68402409553528
130,90.9090909090909,100.0,100.0,22.0,21.0,20.0,3.1638002395629883,45.41828727722168,164.41053032875058
131,100.0,13.888888888888893,77.14285714285717,37.0,36.0,35.0,3.1951956748962402,49.46343231201172,164.4567999839783
133,92.0,100.0,95.65217391304348,25.0,24.0,23.0,3.2058887481689453,49.12839126586914,156.11238574981692
134,77.27272727272727,57.14285714285714,85.0,22.0,21.0,20.0,3.1656389236450195,46.386335134506226,166.07272219657895
135,78.0,69.38775510204081,62.5,50.0,49.0,48.0,3.737089157104492,46.779101848602295,162.51220417022702
136,100.0,80.0,92.85714285714286,16.0,15.0,14.0,3.3070945739746094,48.29062294960022,172.9349992275238
137,75.0,82.05128205128204,73.68421052631578,40.0,39.0,38.0,3.3936662673950195,47.6539535522461,163.11293387413025
