,[1] Accuracy,[1] Steps,[1] Time,[2] Accuracy,[2] Steps,[2] Time,[3] Accuracy,[3] Steps,[3] Time
1,96.96969696969695,33.0,2.02173376083374,96.875,32.0,166.7911243438721,100.0,31.0,426.6334459781647
2,80.37735849056604,265.0,9.977996826171877,80.68181818181817,264.0,244.03819298744202,80.22813688212928,263.0,567.5891449451448
3,93.93939393939394,33.0,2.0300681591033936,96.875,32.0,164.87626409530642,96.77419354838709,31.0,516.7006962299347
4,75.0,12.0,1.5029737949371338,72.72727272727273,11.0,152.64736223220825,70.0,10.0,497.4307501316071
5,93.10344827586206,29.0,2.0843775272369385,96.42857142857143,28.0,175.36734962463382,96.29629629629628,27.0,487.29549169540405
6,44.444444444444436,18.0,1.842047452926636,35.29411764705883,17.0,162.9266064167023,43.75,16.0,563.1107127666472
7,56.25,16.0,1.7347064018249512,40.0,15.0,151.98791909217834,35.714285714285715,14.0,466.7414436340332
8,79.06976744186046,215.0,9.502452135086061,79.90654205607476,214.0,191.84518599510196,79.34272300469482,213.0,603.1699779033661
9,91.66666666666666,24.0,3.008965253829956,95.65217391304348,23.0,156.85317635536194,95.45454545454544,22.0,450.45989394187933
12,50.0,30.0,2.9577012062072754,48.27586206896552,29.0,182.80281472206119,50.0,28.0,497.79793334007263
14,11.111111111111109,9.0,2.171561479568481,25.0,8.0,159.17042708396912,28.57142857142857,7.0,492.0096271038056
15,90.82969432314412,229.0,12.101369857788086,90.7894736842105,228.0,205.51483535766602,91.62995594713655,227.0,588.0661206245422
17,44.11764705882353,34.0,3.6477675437927246,60.60606060606061,33.0,171.15600490570068,65.625,32.0,447.38797235488886
18,82.6086956521739,23.0,3.44097900390625,68.18181818181817,22.0,154.27123475074768,90.4761904761905,21.0,468.48270773887634
20,72.72727272727273,11.0,3.3820607662200928,80.0,10.0,155.28470230102542,88.8888888888889,9.0,533.6138272285461
23,47.82608695652174,23.0,3.3458728790283203,50.0,22.0,157.81642198562622,42.857142857142854,21.0,480.2408905029297
24,67.1875,128.0,8.180844068527223,70.86614173228347,127.0,181.75944232940674,70.63492063492063,126.0,561.8639562129973
25,60.71428571428571,28.0,3.6709797382354736,66.66666666666666,27.0,158.5448935031891,65.38461538461539,26.0,496.0737001895905
26,50.0,14.0,4.2305908203125,61.53846153846154,13.0,151.38193273544314,83.33333333333334,12.0,474.4344167709351
27,53.846153846153854,65.0,6.561383247375487,59.375,64.0,167.98991918563846,61.904761904761905,63.0,483.38752818107605
29,43.234323432343245,303.0,15.669698715209961,46.357615894039725,302.0,227.69296312332156,45.51495016611296,301.0,673.0211465358734
30,52.631578947368425,19.0,4.326854228973389,66.66666666666666,18.0,172.44632196426392,76.47058823529412,17.0,481.6054892539978
31,0.0,10.0,3.197385549545288,11.111111111111109,9.0,155.63109183311462,50.0,8.0,442.49851846694946
33,40.0,30.0,5.1950650215148935,48.27586206896552,29.0,161.76776123046875,53.57142857142857,28.0,447.0663480758667
34,56.66666666666666,30.0,4.225651979446411,68.96551724137932,29.0,159.76294827461246,53.57142857142857,28.0,508.47025275230413
35,0.0,8.0,4.024956226348877,42.857142857142854,7.0,154.6729507446289,66.66666666666666,6.0,507.3156297206879
37,35.483870967741936,31.0,5.643745183944702,53.33333333333334,30.0,162.59335112571716,55.17241379310346,29.0,495.343649148941
39,61.03896103896104,77.0,7.505918025970459,63.157894736842096,76.0,174.44736504554749,60.0,75.0,512.5158338546753
40,59.493670886075954,79.0,7.460401058197021,66.66666666666666,78.0,175.6961853504181,76.62337662337663,77.0,486.3551969528198
41,57.62711864406779,118.0,8.809794187545775,58.11965811965813,117.0,181.65836334228518,58.620689655172406,116.0,458.11167764663696
42,70.0,30.0,5.029942750930786,72.41379310344827,29.0,166.8402419090271,75.0,28.0,442.61368060112
43,45.16129032258064,31.0,5.317448377609253,56.66666666666666,30.0,176.4125645160675,62.06896551724138,29.0,470.1252772808075
44,42.857142857142854,14.0,4.5112359523773184,69.23076923076923,13.0,167.28380417823792,33.33333333333333,12.0,501.04775309562683
45,82.1917808219178,292.0,16.618016958236694,82.13058419243984,291.0,224.2880115509033,82.06896551724137,290.0,591.6284995079039
46,82.13058419243984,291.0,16.765038013458252,81.0344827586207,290.0,229.1173570156097,80.27681660899654,289.0,549.4924743175507
50,60.0,35.0,6.495826721191406,76.47058823529412,34.0,166.95453166961667,84.84848484848484,33.0,514.4937517642975
55,26.470588235294123,34.0,7.882936716079713,45.45454545454545,33.0,170.88159728050232,37.5,32.0,483.926842212677
56,45.45454545454545,11.0,5.2604501247406015,90.0,10.0,162.03599309921262,77.7777777777778,9.0,513.3686776161194
62,17.777777777777782,45.0,7.436989068984985,31.818181818181817,44.0,174.38469243049622,30.232558139534877,43.0,487.5045349597931
64,89.32038834951456,103.0,10.783878803253174,89.21568627450979,102.0,194.2499716281891,87.12871287128714,101.0,604.9879252910614
66,58.992805755395686,139.0,12.786025047302244,62.31884057971014,138.0,193.22341442108157,64.23357664233576,137.0,551.1931736469269
67,65.68627450980392,102.0,10.300500392913818,65.34653465346534,101.0,186.23242211341858,68.0,100.0,495.8177597522736
68,78.57142857142857,210.0,14.384177684783936,77.51196172248805,209.0,211.73069596290588,77.40384615384616,208.0,550.9740903377533
70,84.57943925233646,214.0,14.590154647827148,84.03755868544602,213.0,215.34068608284,83.49056603773585,212.0,633.1821780204772
71,97.05882352941177,34.0,7.229357957839966,93.93939393939394,33.0,172.2069149017334,96.875,32.0,550.0659813880919
72,22.222222222222218,18.0,7.178404808044434,64.70588235294117,17.0,160.8950002193451,62.5,16.0,538.2655117511748
73,57.14285714285714,14.0,6.708711385726929,61.53846153846154,13.0,162.16427564620972,66.66666666666666,12.0,477.80272793769836
74,51.35135135135135,37.0,7.570195436477661,47.22222222222222,36.0,168.46303987503055,48.57142857142857,35.0,469.91561222076416
75,90.0,20.0,7.187637805938722,89.47368421052632,19.0,168.0630581378937,88.8888888888889,18.0,463.3413479328156
76,94.5945945945946,37.0,8.289180755615233,97.2222222222222,36.0,170.01927590370178,97.14285714285714,35.0,517.8789932727814
77,21.052631578947366,38.0,7.966789484024048,24.324324324324326,37.0,169.3872268199921,22.222222222222218,36.0,480.1021671295166
78,15.384615384615385,39.0,8.565440893173218,18.421052631578945,38.0,167.79762816429138,16.216216216216218,37.0,539.9313225746155
79,59.25925925925925,27.0,7.999470710754394,57.69230769230769,26.0,166.06860494613647,56.00000000000001,25.0,536.421838760376
80,60.0,120.0,12.343613862991333,58.82352941176471,119.0,190.01865005493164,56.779661016949156,118.0,516.7465000152588
81,28.57142857142857,14.0,7.714134931564331,69.23076923076923,13.0,168.6476538181305,50.0,12.0,481.4793045520783
82,57.14285714285714,14.0,7.651141405105591,61.53846153846154,13.0,169.3105971813202,66.66666666666666,12.0,455.76208090782166
83,82.6086956521739,23.0,7.826099157333374,77.27272727272727,22.0,165.97370100021362,90.4761904761905,21.0,448.83787631988525
84,82.6086956521739,23.0,8.190867900848389,77.27272727272727,22.0,177.89997339248657,76.19047619047619,21.0,440.07453536987305
85,16.666666666666664,24.0,8.16421103477478,82.6086956521739,23.0,166.29862523078918,77.27272727272727,22.0,443.625284910202
86,77.7777777777778,27.0,8.930250883102419,80.76923076923076,26.0,169.6732928752899,84.0,25.0,500.3387179374695
87,77.7777777777778,27.0,8.826063394546507,84.61538461538461,26.0,167.57629561424255,84.0,25.0,508.4404864311218
89,46.153846153846146,26.0,9.820247888565065,76.0,25.0,167.55186247825625,87.5,24.0,551.0796403884889
90,56.25,16.0,9.767581701278688,53.33333333333334,15.0,169.73531126976013,50.0,14.0,511.217613697052
91,74.4186046511628,43.0,10.652500867843626,88.09523809523809,42.0,173.0459864139557,90.24390243902441,41.0,581.1083271503447
92,77.7777777777778,9.0,8.771186113357544,87.5,8.0,171.01619386672976,71.42857142857143,7.0,551.4980871677399
93,88.8888888888889,36.0,9.947800636291504,94.28571428571428,35.0,171.68978309631348,97.05882352941177,34.0,582.3818488121033
95,70.64220183486239,218.0,18.98008179664612,72.35023041474655,217.0,220.8138678073883,72.68518518518519,216.0,600.7954044342041
96,55.319148936170215,47.0,11.99767518043518,63.04347826086957,46.0,180.0983259677887,71.1111111111111,45.0,463.84659337997437
97,67.3913043478261,46.0,10.752444505691528,68.8888888888889,45.0,177.78446698188782,68.18181818181817,44.0,510.5583531856537
98,65.15151515151516,132.0,15.585493564605713,65.64885496183207,131.0,201.8235514163971,72.30769230769229,130.0,572.4977340698242
99,81.57894736842105,38.0,11.526978492736815,72.97297297297297,37.0,179.31895685195926,91.66666666666666,36.0,473.1779086589813
100,93.10344827586206,29.0,10.133123874664307,92.85714285714286,28.0,174.47041606903076,92.5925925925926,27.0,470.3623642921448
102,60.3448275862069,58.0,12.801342010498047,57.894736842105274,57.0,186.43389105796814,58.92857142857143,56.0,581.5215194225311
103,40.0,25.0,10.967828035354614,54.16666666666666,24.0,178.12151265144348,43.47826086956522,23.0,565.1379811763762
104,68.75,32.0,10.633998632431028,77.4193548387097,31.0,178.25023245811462,80.0,30.0,579.7388226985931
105,67.56756756756756,37.0,10.745524168014526,77.7777777777778,36.0,176.87991976737976,74.28571428571429,35.0,550.916773557663
106,92.30769230769229,13.0,9.645292520523073,83.33333333333334,12.0,170.7586350440979,90.9090909090909,11.0,571.3664529323578
107,90.0,30.0,10.371698141098024,93.10344827586206,29.0,171.62418842315677,89.2857142857143,28.0,589.3270998001099
109,0.0,9.0,10.0301251411438,62.5,8.0,170.70834136009216,71.42857142857143,7.0,531.1855034828186
110,96.66666666666669,30.0,11.153510093688963,93.10344827586206,29.0,178.91443109512332,96.42857142857143,28.0,455.67392897605896
111,60.0,30.0,11.248172521591187,79.3103448275862,29.0,172.79138350486755,78.57142857142857,28.0,482.3038823604584
112,92.30769230769229,26.0,11.11510682106018,88.0,25.0,172.77888178825378,87.5,24.0,539.7211942672731
113,72.0,25.0,11.133222341537476,83.33333333333334,24.0,170.10245180130002,82.6086956521739,23.0,534.7716777324677
114,88.09523809523809,42.0,12.637119054794312,90.24390243902441,41.0,180.65628361701962,87.5,40.0,580.4204490184784
115,71.42857142857143,42.0,12.381550073623655,70.73170731707317,41.0,178.3274598121643,67.5,40.0,557.5819919109343
117,64.28571428571429,14.0,10.852003812789917,23.07692307692308,13.0,173.16671800613403,66.66666666666666,12.0,504.3731143474579
118,42.42424242424242,33.0,12.703451156616213,53.125,32.0,174.4672737121582,51.612903225806456,31.0,469.6439712047577
119,38.46153846153847,26.0,11.715200662612915,40.0,25.0,176.04782795906067,66.66666666666666,24.0,456.6102476119995
120,85.18518518518519,27.0,12.634516716003418,88.46153846153845,26.0,182.33538389205933,88.0,25.0,517.1335327625275
121,63.63636363636363,22.0,12.342463970184324,66.66666666666666,21.0,177.07418298721313,65.0,20.0,525.6588287353517
122,65.625,32.0,12.719165802001953,64.51612903225806,31.0,179.0878450870514,76.66666666666667,30.0,573.532660484314
123,76.64473684210526,304.0,26.253715991973877,76.23762376237623,303.0,248.04620933532715,76.15894039735099,302.0,685.3383078575133
124,86.66666666666669,45.0,13.203675031661987,88.63636363636364,44.0,190.4996349811554,90.69767441860463,43.0,485.9244260787964
125,89.47368421052632,38.0,13.404973268508911,89.18918918918921,37.0,181.99773240089417,94.44444444444444,36.0,495.16137671470636
